id,url,zh_tw,ja,en,translate,note
11a,https://www.busfan.club/uncensored/genre/11a,射在外陰,マンコぶっかけ,Pussy Bukkake
124,https://www.busfan.club/uncensored/genre/124,射在大腿,太腿に精液,cum on Thigh
13a,https://www.busfan.club/uncensored/genre/13a,射在屁股,尻に精液,cum on hip
11e,https://www.busfan.club/uncensored/genre/11e,射在胸部,胸に精液,Cum On tits
14w,https://www.busfan.club/uncensored/genre/14w,射在腹部,腹に精液,Cum on belly
128,https://www.busfan.club/uncensored/genre/128,射在衣服上,着衣に精液,Cum on Clothes
110,https://www.busfan.club/uncensored/genre/110,射在頭髮,髪に精液,cum on hair
gre095,https://www.busfan.club/uncensored/genre/gre095,小便,放尿,放尿
ad,https://www.busfan.club/uncensored/genre/ad,小姐,キャバ嬢,キャバ嬢
gz,https://www.busfan.club/uncensored/genre/gz,小麥色,小麦肌,小麦肌
gre032,https://www.busfan.club/uncensored/genre/gre032,少女,美少女,美少女
gre013,https://www.busfan.club/uncensored/genre/gre013,尖叫,絶叫,絶叫
zc,https://www.busfan.club/uncensored/genre/zc,屁股,お尻,お尻
wh,https://www.busfan.club/uncensored/genre/wh,屋頂,屋上,屋上
sv,https://www.busfan.club/uncensored/genre/sv,岳母,義母,義母
mr,https://www.busfan.club/uncensored/genre/mr,工作人員,スタッフ,スタッフ
gre065,https://www.busfan.club/uncensored/genre/gre065,巨乳,巨乳,巨乳
gre080,https://www.busfan.club/uncensored/genre/gre080,巨大陽具,デカマラ,デカマラ
gre078,https://www.busfan.club/uncensored/genre/gre078,巨臀,巨尻,巨尻
gre040,https://www.busfan.club/uncensored/genre/gre040,年輕人妻,幼妻,幼妻
gre008,https://www.busfan.club/uncensored/genre/gre008,幻想,妄想,妄想
103,https://www.busfan.club/uncensored/genre/103,床,ベッド,ベッド
48,https://www.busfan.club/uncensored/genre/48,店員,店員,店員
gre149,https://www.busfan.club/uncensored/genre/gre149,廁所,トイレ,トイレ
h1,https://www.busfan.club/uncensored/genre/h1,廚房,キッチン,キッチン
gre086,https://www.busfan.club/uncensored/genre/gre086,後入,バック,バック
v4,https://www.busfan.club/uncensored/genre/v4,後入內射,バック中出し,Creampie-doggy
gre072,https://www.busfan.club/uncensored/genre/gre072,微乳,微乳,微乳
7z,https://www.busfan.club/uncensored/genre/7z,性伴侶,セフレ,セフレ
gre073,https://www.busfan.club/uncensored/genre/gre073,性感,セクシー,セクシー
2r,https://www.busfan.club/uncensored/genre/2r,情人,彼女,彼女
gre058,https://www.busfan.club/uncensored/genre/gre058,情趣內衣,セクシーランジェリー,セクシーランジェリー
m3,https://www.busfan.club/uncensored/genre/m3,惡作劇,ドッキリ,ドッキリ
gre145,https://www.busfan.club/uncensored/genre/gre145,愛情旅館,ラブホ,ラブホ
au,https://www.busfan.club/uncensored/genre/au,慾求不滿,欲求不満,欲求不満
11i,https://www.busfan.club/uncensored/genre/11i,懸掛,吊り下げ・磔,Hung ceiling
bd,https://www.busfan.club/uncensored/genre/bd,戀物癖,フェチ,フェチ
gre144,https://www.busfan.club/uncensored/genre/gre144,房間,部屋,部屋
gre090,https://www.busfan.club/uncensored/genre/gre090,手淫,手コキ,Handjob
zk,https://www.busfan.club/uncensored/genre/zk,手銬,手錠,Handcuffs
10u,https://www.busfan.club/uncensored/genre/10u,打屁股,スパンキング,love-spanking
17y,https://www.busfan.club/uncensored/genre/17y,打底褲,レギンス,レギンス
gre101,https://www.busfan.club/uncensored/genre/gre101,打樁機,マングリ返し,マングリ返し
gre105,https://www.busfan.club/uncensored/genre/gre105,打飛機,ハード系,ハード系
117,https://www.busfan.club/uncensored/genre/117,扯破連褲襪,パンスト破き・切り,tearing pantyhose
163,https://www.busfan.club/uncensored/genre/163,投稿,投稿,投稿
vf,https://www.busfan.club/uncensored/genre/vf,拍攝現場,撮影現場,撮影現場
gre125,https://www.busfan.club/uncensored/genre/gre125,拘束,拘束,拘束
gre098,https://www.busfan.club/uncensored/genre/gre098,指法,指マン,指マン
6w,https://www.busfan.club/uncensored/genre/6w,按摩,マッサージ,マッサージ
6,https://www.busfan.club/uncensored/genre/6,振動,バイブ,バイブ
1b4,https://www.busfan.club/uncensored/genre/1b4,捲髮,クルクル巻髪,Curly Hair
1bc,https://www.busfan.club/uncensored/genre/1bc,推薦作品,店長推薦作品,Editor's Pick
gre021,https://www.busfan.club/uncensored/genre/gre021,推銷,訪問販売,訪問販売
11l,https://www.busfan.club/uncensored/genre/11l,插兩根,マンコ2本挿し,two cocks in one pussy
w,https://www.busfan.club/uncensored/genre/w,搭訕,ナンパ,ナンパ
b6,https://www.busfan.club/uncensored/genre/b6,摩擦,素股,素股
12r,https://www.busfan.club/uncensored/genre/12r,播音員,キャスター・女子アナ等,announcer
gre128,https://www.busfan.club/uncensored/genre/gre128,攝影,撮影,撮影
8y,https://www.busfan.club/uncensored/genre/8y,敏感,敏感,敏感
7j,https://www.busfan.club/uncensored/genre/7j,教室,教室,教室
gre030,https://www.busfan.club/uncensored/genre/gre030,教師,インストラクター,インストラクター
iz,https://www.busfan.club/uncensored/genre/iz,散步,散歩,散歩
gre020,https://www.busfan.club/uncensored/genre/gre020,新人,新人,新人
gre046,https://www.busfan.club/uncensored/genre/gre046,新婚,新婚夫婦,新婚夫婦
gre014,https://www.busfan.club/uncensored/genre/gre014,新年,年間,年間
gre033,https://www.busfan.club/uncensored/genre/gre033,新手,初AV,初AV
gre010,https://www.busfan.club/uncensored/genre/gre010,旅行,旅行,旅行
7w,https://www.busfan.club/uncensored/genre/7w,旅館,旅館,旅館
gre160,https://www.busfan.club/uncensored/genre/gre160,旗袍,チャイナドレス,China Doll
2c,https://www.busfan.club/uncensored/genre/2c,早洩,早抜き,早抜き
o4,https://www.busfan.club/uncensored/genre/o4,明星,セレブ,セレブ
f8,https://www.busfan.club/uncensored/genre/f8,晚禮服,ドレス,ドレス
we,https://www.busfan.club/uncensored/genre/we,暴露,暴露,暴露
wy,https://www.busfan.club/uncensored/genre/wy,曬痕,日焼け跡,日焼け跡
178,https://www.busfan.club/uncensored/genre/178,更衣室,脱衣所,脱衣所
gre143,https://www.busfan.club/uncensored/genre/gre143,最佳合集,ベスト、総集編,ベスト、総集編
18t,https://www.busfan.club/uncensored/genre/18t,朋友,友達,友達
nc,https://www.busfan.club/uncensored/genre/nc,服侍,奉仕,奉仕
22,https://www.busfan.club/uncensored/genre/22,束縛,縛り,縛り
x4,https://www.busfan.club/uncensored/genre/x4,桌子,テーブル,テーブル
102,https://www.busfan.club/uncensored/genre/102,椅子,椅子,椅子
hm,https://www.busfan.club/uncensored/genre/hm,極小比基尼,マイクロビキニ,マイクロビキニ
gre152,https://www.busfan.club/uncensored/genre/gre152,榻榻米,畳,畳
wj,https://www.busfan.club/uncensored/genre/wj,樓梯,階段,階段
gre029,https://www.busfan.club/uncensored/genre/gre029,模特,モデル系,モデル系
gre017,https://www.busfan.club/uncensored/genre/gre017,檢查,診察,診察
kp,https://www.busfan.club/uncensored/genre/kp,母乳,母乳,Mother's milk
gre057,https://www.busfan.club/uncensored/genre/gre057,比基尼,ビキニ,ビキニ
vx,https://www.busfan.club/uncensored/genre/vx,毛衣,セーター,セーター
gv,https://www.busfan.club/uncensored/genre/gv,水手服,セーラー服,Student Uniform
7g,https://www.busfan.club/uncensored/genre/7g,求職,就職活動,就職活動
gre147,https://www.busfan.club/uncensored/genre/gre147,沙發,ソファ,ソファ
ab,https://www.busfan.club/uncensored/genre/ab,治癒系,癒し系,Heal
8e,https://www.busfan.club/uncensored/genre/8e,注視,目線,目線
gre053,https://www.busfan.club/uncensored/genre/gre053,泳衣,水着,水着
gre002,https://www.busfan.club/uncensored/genre/gre002,洗澡,風呂,風呂
gre148,https://www.busfan.club/uncensored/genre/gre148,浴室,ソープ,ソープ
gre052,https://www.busfan.club/uncensored/genre/gre052,浴衣和服,浴衣・着物,浴衣・着物
3q,https://www.busfan.club/uncensored/genre/3q,淋浴,シャワー,シャワー
3x,https://www.busfan.club/uncensored/genre/3x,淫亂,淫乱,淫乱
gre009,https://www.busfan.club/uncensored/genre/gre009,淫蕩,マンネリ,マンネリ
1cw,https://www.busfan.club/uncensored/genre/1cw,淫語,淫語責め,Verbal Seduction
1o,https://www.busfan.club/uncensored/genre/1o,淫語,淫語,speaking erotic word
gre097,https://www.busfan.club/uncensored/genre/gre097,深膚色,ギャル系,Gal
1dp,https://www.busfan.club/uncensored/genre/1dp,混血,ハーフ美女,Mixed Race
3a,https://www.busfan.club/uncensored/genre/3a,游泳池,プール,プール
gre150,https://www.busfan.club/uncensored/genre/gre150,溫泉,温泉,温泉
gre127,https://www.busfan.club/uncensored/genre/gre127,潤滑劑,ローション,ローション
1c2,https://www.busfan.club/uncensored/genre/1c2,潤滑油,全身ローション,Lotion
gre091,https://www.busfan.club/uncensored/genre/gre091,潮吹,潮吹き,Shiofuki
gre132,https://www.busfan.club/uncensored/genre/gre132,灌入精液,精液流し込み・押込み,Semen poured
10w,https://www.busfan.club/uncensored/genre/10w,灌腸,浣腸,浣腸
gre164,https://www.busfan.club/uncensored/genre/gre164,無套,生ハメ・生姦,生ハメ・生姦
gre070,https://www.busfan.club/uncensored/genre/gre070,無毛,パイパン,shaved
xx,https://www.busfan.club/uncensored/genre/xx,煩惱,悩み,悩み
gre022,https://www.busfan.club/uncensored/genre/gre022,熟女,熟女/人妻,熟女/人妻
gre075,https://www.busfan.club/uncensored/genre/gre075,爆乳,爆乳,爆乳
17h,https://www.busfan.club/uncensored/genre/17h,牛仔褲,ジーンズ,ジーンズ
11w,https://www.busfan.club/uncensored/genre/11w,牢籠,鉄格子,bars/lock
c2,https://www.busfan.club/uncensored/genre/c2,猛烈,激しい,激しい
2a,https://www.busfan.club/uncensored/genre/2a,獨佔動畫,独占動画,独占動画
gre122,https://www.busfan.club/uncensored/genre/gre122,玩具,おもちゃ,おもちゃ
gre113,https://www.busfan.club/uncensored/genre/gre113,玩弄肛門,アナル玩弄,Anal toying
gre034,https://www.busfan.club/uncensored/genre/gre034,男友,元カレ,元カレ
gre156,https://www.busfan.club/uncensored/genre/gre156,男装,男装,men's clothes
gre136,https://www.busfan.club/uncensored/genre/gre136,異物插入,異物挿入,Foreign
gre112,https://www.busfan.club/uncensored/genre/gre112,痙攣,全身痙攣,全身痙攣
gre025,https://www.busfan.club/uncensored/genre/gre025,痴女,痴女,Lust woman
gre163,https://www.busfan.club/uncensored/genre/gre163,白人,洋物,Western
gre142,https://www.busfan.club/uncensored/genre/gre142,白天,昼間,昼間
18,https://www.busfan.club/uncensored/genre/18,白領,OL,OL
162,https://www.busfan.club/uncensored/genre/162,監禁,監禁,監禁
gre042,https://www.busfan.club/uncensored/genre/gre042,看護,介護士,介護士
12d,https://www.busfan.club/uncensored/genre/12d,眼淚,本気泣き,tears
gre055,https://www.busfan.club/uncensored/genre/gre055,眼罩,目隠し,Eye Bandage
gre061,https://www.busfan.club/uncensored/genre/gre061,眼鏡,めがね,めがね
165,https://www.busfan.club/uncensored/genre/165,睡眠系,睡眠系,睡眠系
14,https://www.busfan.club/uncensored/genre/14,睡衣,パジャマ,パジャマ
17i,https://www.busfan.club/uncensored/genre/17i,短褲,短パン,短パン
y2,https://www.busfan.club/uncensored/genre/y2,秘密,秘密,秘密
ct,https://www.busfan.club/uncensored/genre/ct,秘書,秘書,秘書
gre048,https://www.busfan.club/uncensored/genre/gre048,空中小姐,CA,CA
gre114,https://www.busfan.club/uncensored/genre/gre114,立即口交,即ハメ,Immediate Fcuk
gre107,https://www.busfan.club/uncensored/genre/gre107,站立位,駅弁,駅弁
tc,https://www.busfan.club/uncensored/genre/tc,站立姿勢,立位,立位
gre001,https://www.busfan.club/uncensored/genre/gre001,第一視角,ハメ撮り,Fucking holding Camera
11s,https://www.busfan.club/uncensored/genre/11s,精液塗抹,精液塗り込み,semen body painting
11p,https://www.busfan.club/uncensored/genre/11p,精液流出,中出し精液抱上げ垂流し,air sperm discharge
gre005,https://www.busfan.club/uncensored/genre/gre005,約會,デート,デート
gre023,https://www.busfan.club/uncensored/genre/gre023,素人,素人,素人
4s,https://www.busfan.club/uncensored/genre/4s,素顏,素顔,素顔
wz,https://www.busfan.club/uncensored/genre/wz,絲帶,リボン,リボン
gre134,https://www.busfan.club/uncensored/genre/gre134,綁縛,縄,縄
1b8,https://www.busfan.club/uncensored/genre/1b8,經期,生理中,Menstruate
gre054,https://www.busfan.club/uncensored/genre/gre054,網襪,網タイツ,Net tights
jg,https://www.busfan.club/uncensored/genre/jg,緊身衣,レオタード,Leotard
sl,https://www.busfan.club/uncensored/genre/sl,繩子,ロープ,ロープ
gre064,https://www.busfan.club/uncensored/genre/gre064,美乳,美乳,美乳
gre049,https://www.busfan.club/uncensored/genre/gre049,美人,美女,美女
8d,https://www.busfan.club/uncensored/genre/8d,美容師,エステティシャン,エステティシャン
gre071,https://www.busfan.club/uncensored/genre/gre071,美白,美白,美白
bl,https://www.busfan.club/uncensored/genre/bl,美穴,美マン,Beautiful Pussy
1da,https://www.busfan.club/uncensored/genre/1da,美肌,美肌・美白,Beautiful Skin
gre069,https://www.busfan.club/uncensored/genre/gre069,美腿,美脚,美脚
gre068,https://www.busfan.club/uncensored/genre/gre068,美臀,美尻,美尻
gre018,https://www.busfan.club/uncensored/genre/gre018,羞恥,破廉恥,破廉恥
12l,https://www.busfan.club/uncensored/genre/12l,翻白眼,白目剥き,Swoon white of eyes
jk,https://www.busfan.club/uncensored/genre/jk,老師,先生,先生
gre041,https://www.busfan.club/uncensored/genre/gre041,職員,キャリアウーマン,キャリアウーマン
gre102,https://www.busfan.club/uncensored/genre/gre102,肛交,アナルバック,アナルバック
kv,https://www.busfan.club/uncensored/genre/kv,肛射,アナル中出し,Anal Creampie
gre124,https://www.busfan.club/uncensored/genre/gre124,肛門,アナル,アナル
gre085,https://www.busfan.club/uncensored/genre/gre085,自慰,オナニー,masterbation
8q,https://www.busfan.club/uncensored/genre/8q,舌頭,舌,舌
12a,https://www.busfan.club/uncensored/genre/12a,舔耳朵,男が女の耳を舐める,licking the ear of the woman
gre110,https://www.busfan.club/uncensored/genre/gre110,舔肛,アナルなめ,アナルなめ
13r,https://www.busfan.club/uncensored/genre/13r,舔腳,男の足舐め,licking foot of the man
gre115,https://www.busfan.club/uncensored/genre/gre115,舔蛋蛋,タマ舐め,タマ舐め
i,https://www.busfan.club/uncensored/genre/i,舔陰,クンニ,クンニ
